label,en,chs
LBL_1STTUBEFLOWDIR,1st tube flow direction,第一管程的流动方向
LBL_A,a,a
LBL_ABC,"A, B, C","A, B, C"
LBL_ABSDUTY,Absorbed duty,吸收的负荷
LBL_ACCESS,Access,可见
LBL_ACCESSFROM,Access from,可见自
LBL_ACOUVIB,Acoustic Vibration Check,声学振动检查
LBL_ACROSSBRNR,Across burner,穿过燃烧器
LBL_ACROSSBUND,Across bundle,穿过管束
LBL_ACROSSPLEN,Across plenum,穿过管箱
LBL_ACTNUMTOSPEC,Actual number / specified,实际数量/指定数量
LBL_ACTOAU,Act'l overall coeff,实际传热系数
LBL_ACTTHRTDIA,Actual throat diameter,实际喉径
LBL_ACTUAL,Actual,实际
LBL_ACTUALU,Actual U,实际U
LBL_ADDMASSFACT,Added mass factor,增加的质量系数
LBL_ADJGAS,Adjacent Gas,邻近的气流
LBL_AEDUKLERFLOWMAP,A.E. Dukler flow map,A.E. Dukler流型图
LBL_AIR,Air,空气
LBL_AIRFJCURVE,Airside FJ-Curve,空气侧FJ曲线
LBL_AIRHUM,Air humidity,空气湿度
LBL_AIRPREHEAT,Air preheater,空气预热器
LBL_AIRSIDE,Airside,空气侧
LBL_AIRSIDEFLUID,Airside Fluid,空气侧流体
LBL_AIRSIDEPRESSDROP,Airside Pressure Drop,空气侧压降
LBL_AIRSIDEVEL,Airside Velocities,空气侧流速
LBL_AIRSIDEVELMAX,Maximum Airside Velocities,空气侧最大流速
LBL_AIRSUPP,Air supply,空气供应
LBL_AIRTEMP,Air temperature,空气温度
LBL_ALLOWSTRESS,Allowable stress,许用应力
LBL_ALTABVSEA,Altitude above sea level,海拔
LBL_AMB,Ambient,环境
LBL_AMBAIRCONDITIONS,Ambient Air Conditions,环境空气条件
LBL_AMBAIRTEMPEFFCALC,"Ambient air temperature, efficiency calculation",环境空气温度，效率计算
LBL_AMBAIRTEMPSTKDES,"Ambient air temperature, stack design",环境空气温度，烟囱设计
LBL_AMBAIRTUREXH,Ambient / preheated air / gas turbine exhaust,环境/预热空气/燃气轮机排气
LBL_AMBTEMPMAXMIN,"Ambient temperature, maximum / minimum",环境温度，最高/最低
LBL_AMBTEMPMAXMIN2,"Ambient temperature, Max / Min",环境温度，最高/最低
LBL_AMPLITUDE,Amplitude,振幅
LBL_ANALFIRSTTUBEROW,analysis at first tube row,第一管排的分析
LBL_ANALRESULTS,Analysis Results,分析结果
LBL_ANCHOR,Anchor (Material and Type),锚（材料和类型）
LBL_ANNUDISTR,Annular Distributor,环形分配器
LBL_ANTOINEABTC,Antoine constants ln(VP) = A + B/(T + C),安托万常数 ln(VP) = A + B/(T + C)
LBL_AONGAXIS,Along axis,轴向
LBL_API530,API 530,API 530
LBL_API530HEATFLUX,Heat Flux Parameters,热通量参数
LBL_API530HEATTRANCOEF,Heat Transfer Coefficient Parameters,传热系数参数
LBL_API530HTC,API 530 Process Heat Transfer Coefficient,API 530 工艺传热系数
LBL_API530METALTEMP,API 530 Metal Temperature,API 530 金属温度
LBL_API530METPROP,API 530 Metal Properties,API 530 金属性能
LBL_API530OPERCOND,Operating Conditions,操作条件
LBL_API530TUBEMETAL,Metal Temperature Parameters,金属温度参数
LBL_API530TUBETHKDES,API 530 Tube Thickness Design,API 530 换热管厚度设计
LBL_API560N1L1,"At design conditions, minimum of 90% of the available draft with air register fully open shall be",在设计条件下，至少有90%的可用风量在空气调节器完全打开的情况下被利用到整个燃烧器。
LBL_API560N1L2,"utilized across the burner. In addition, a minimum of 75% of the air side pressure drop with air",此外，在空气调节器全开的情况下，整个燃烧器喉部应使用至少75%的空气侧压降。
LBL_API560N1L3,registers full open shall be utilized across burner throat.,
LBL_API560N2L1,Vendor to guarantee burner flame length.,供应商保证燃烧器的火焰长度。
LBL_API560N3L1,"Vendor to guarantee excess air, heat release and draft loss across burner.",供应商保证多余的空气，热量释放和整个燃烧器的气流损失。
LBL_APISTD560,API STD - 560,API STD - 560
LBL_APITUBETHKNOTE1,"For elastic design (fraction of time in rupture regime = 0), the maximum tube temperature equals input for temperature at maximum operating pressure.  For rupture design (fraction of time in rupture regime > 0), the maximum allowable continuous temperature at average pressure is based on actual thickness selected to give design life, but limited to Maximum Design Metal Temperature for selected tube material.",对于弹性设计（破裂状态下的时间分数=0），最大管子温度等于最大工作压力下的温度输入。 对于破裂设计（破裂状态下的时间分数>0），平均压力下的最大允许连续温度是基于为设计寿命而选择的实际厚度，但仅限于所选管子材料的最大设计金属温度。
LBL_APITUBETHKNOTE2,"Maximum elastic design temperature is limited to stress curve intersection temperature.  If tube is operated above this temperature, then rupture design controls and the average pressure shall not exceed pressure shown in the rupture design.",最大的弹性设计温度被限制在应力曲线的交点温度。 如果管子在这个温度以上运行，那么破裂设计就会受到控制，平均压力不得超过破裂设计中显示的压力。
LBL_APITUBETHKNOTE3,The rupture analysis for a linear changing temperature profile is based on a lower limit of the start of run temperature and an upper limit of the end of run temperature. A tube operating continuously at the equivalent temperature will suffer the same creep damage as the one operating at the above linear profile.  Operation at a constant metal temperature above the equivalent temperature may result in a life shorter than the design life.,线性变化的温度曲线的断裂分析是基于运行开始温度的下限和运行结束温度的上限。 在等效温度下连续运行的管子将遭受与在上述线性剖面下运行的管子相同的蠕变损坏。 在高于等效温度的恒定金属温度下运行可能会导致寿命短于设计寿命。
LBL_APITUBETHKNOTE4,The rupture design is performed at a constant temperature equal to the equivalent temperature and the specified design life.,破裂设计是在等于等效温度和指定设计寿命的恒定温度下进行的。
LBL_APPSHELL,Approximate shellside,壳侧约
LBL_APPSTRESS,Applied stress,施加应力
LBL_APPTUBE,Approximate tubeside,管侧约
LBL_ARCH,Arch,拱
LBL_AREA,Area,面积
LBL_AREAEXTBARE,Area Extended/Bare,延伸面积/基管面积
LBL_AREALEN,Area/length,面积/长度
LBL_AREAPERPLATE,Area per plate,每块板的面积
LBL_AREARAT,Area ratio,面积比
LBL_AREARATIOFINBARE,Area ratio (fin/bare),面积比（翅片/基管）
LBL_AREARATIOOUTIN,Area ratio (out/in),面积比（出/进）
LBL_ASTMEP,ASTM End Point,ASTM 终点
LBL_ASTMIP,ASTM Initial Boiling Point,ASTM 初始沸点
LBL_ASTMMP,ASTM Mid-Point,ASTM 中间点
LBL_ASTMSPECGR,ASTM Specification and Grade,ASTM 规格和等级
LBL_ASYMPASS,Asymmetric pass,非对称流程
LBL_ATBURNERS,@ burners,燃烧器处
LBL_ATDESTEMP,@design temp,设计温度
LBL_ATFRONTHEAD,At front head,前总管
LBL_ATMINAMBTEMP,@min. ambient temp,最小环境温度
LBL_ATOMMEDAIRSTMMEC,Atomizing medium: air / steam / mechanical,雾化介质：空气/蒸汽/机械
LBL_ATOMMEDOILRAT,Atomizing medium / oil ratio,雾化介质/油的比例
LBL_ATOMSTMTEMP,Atomizing steam temp.,雾化蒸汽温度
LBL_ATREARHEAD,At rear head,后总管
LBL_ATTENMETH,Attenuation method,衰减法
LBL_AVGCROSSFLOWVEL,Crossflow velocity ,横流速度
LBL_AVGCROSSVELRAT,Average crossflow velocity ratio,平均横流速度比
LBL_AVGFGCP,Average flue gas heat capacity,平均烟气热容
LBL_AVGFILMCOEF,Average film coef.,平均薄膜传热系数
LBL_AVGFLUX,Average flux,平均通量
LBL_AVGFLUXOD,Average heat flux (OD),平均热通量（OD）
LBL_AVGFLUXRATE,Average flux rate,平均通量率
LBL_AVGGASTEMP,Average gas temperature,平均气体温度
LBL_AVGINSDIA,Average inside diameter,平均内径
LBL_AVGLONGFLOWVEL,Longitudinal velocity,纵向速度
LBL_AVGMETTEMP,Avg metal temperature,平均金属温度
LBL_AVGOUTDIA,Average outside diameter,平均外径
LBL_AVGPLATEPIT,Average plate pitch,平均板间距
LBL_AVGPRESS,Average pressure,平均压力
LBL_AVGPRNNUM,Average Prandtl number,平均普朗特尔数
LBL_AVGRADFLUXDENSALLOW,"Avg. rad. sect. flux density, allow.",允许的平均径向截面通量密度
LBL_AVGRADFLUXDENSCALC,"Avg. rad. sect. flux density, calc.",计算的平均径向截面通量密度
LBL_AVGSKINTEMP,Average skin temperature,平均表面温度
LBL_AVGTHK,Avg. thickness,平均厚度
LBL_AVGTUBEMET,Average tube metal,平均管金属
LBL_AVGVEL,Average velocity,平均流速
LBL_AVGWALLTHK,Average wall thickness,平均壁厚
LBL_AXIAL,AXIAL,轴向
LBL_AXIAL2,Axial,轴向
LBL_AXIALSTRESS,Axial stress loading,轴向应力加载
LBL_AXIALWITHDISTRIBUTOR,Axial with distributor,带分配器的轴流式
LBL_B,b,b
LBL_BACK,Back,后
LBL_BACKEND,Back end,后端
LBL_BACKWALLT,Back wall temperature,后壁温度
LBL_BACKWARD,Backward,向后
LBL_BAFFCUT,Baffle cut,折流板切口
LBL_BAFFCUTDIA,Baffle cut (% dia),切口（%直径）
LBL_BAFFCUTORI,Baffle cut orientation,折流板切口方向
LBL_BAFFGEO,Baffle Geometry,折流板形状
LBL_BAFFINFO,Baffle Information,折流板信息
LBL_BAFFLAY,Baffle layout,折流板布局
LBL_BAFFLEDATA,Baffle Data,折流板数据
LBL_BAFFLES,Baffles,折流板
LBL_BAFFORIENT,Baffle orientation,折流板方向
LBL_BAFFOVERLAP,Baffle overlap,折流板重叠
LBL_BAFFSPA,"Baffle spacing,",折流板间距
LBL_BAFFTHICK,Baffle thickness,板厚
LBL_BAFFTIPCROSSVELRAT,Baffle tip cross velocity ratio,折流板尖端交叉流速比
LBL_BAFFTOSHELL,Baffle-to-shell,折流板到壳
LBL_BAFFTYPE,Baffle type,折流板类型
LBL_BAREAREA,Bare area,基管面积
